address,amount0,amount1,amount2,amount3,amount4,amount5
0x65c6335463f2272583aAE9bC16fBBCDe62AC4f51,1,1,13726459,41179378,1,1
0xd80d7aA3f188C20AfDFd56B030c85B7feFD2CaEF,1,1,13284357,39853072,1,1
0x40e388B0e3AA56577C0820F33d4cF62223898bBC,1,1,12904623,38713870,1,1
0x916693E961F2D4dfF290aE01e042c4aFFAe8705c,1,1,11932278,35796834,1,1
0xb084a32c870Ef9fD3A6183Cd3Ba04f5D6eDd5Aea,1,1,11470195,34410587,1,1
0xE38731DEa5Aa6DF63A6d499768359fAaeCc55A73,1,1,11256668,33770005,1,1
0x7803461284401fCd4880965F6F26D93333f47134,1,1,11141571,33424715,1,1
0xdC17E15E1ef93a93002Cb51dc91FA5851AE871ba,1,1,10551040,31653122,1,1
0x69f5D9224438E7D78CfB05101ce12E358a6FD86c,1,1,10171511,30514535,1,1
0x38137FcB0C7B09FFa0818a6bd958DB209f6369cC,1,1,10112688,30338066,1,1
0x497Df2c02D0122E47bfc95221b4A7D1c93bA9158,1,1,9777936,29333809,1,1
0x412c1b4F3DDD69dFd1aB859B15f520ecE82e3C0f,1,1,9457919,28373757,1,1
0xF70bB5D999211E9567357fe44a90B8B42a3Cd1Be,1,1,9430880,28292640,1,1
0x297d8fDA278a98c6689822aB06759bB09eCbfd31,1,1,9426005,28278017,1,1
0x878a98Fc06a1B426D472CE11dF087d30123e9f33,1,1,9423415,28270246,1,1
0xef54A9B6c0F75d3E29753D309d67370232c79004,1,1,9365810,28097431,1,1
0x24dC43d37852E8008a9934c519bB7483dee70Cbe,1,1,9358723,28076169,1,1
0x36A793C65db20f7e7F5f5220aA812854f7eab919,1,1,9322070,27966212,1,1
0x0bf0e67A34Fc1a43436DeaDD70d3bB7452e7e81D,1,1,9122654,27367963,1,1
0xf99EE1395656A4D846dEF084d34e8Da3F69DA598,1,1,9107476,27322430,1,1
0x5a411F084FaA3259924A4764ff9B090C5780A159,1,1,8847277,26541831,1,1
0xF6Ee3bc2d11201180D29C5c43975816231EA954F,1,1,8761734,26285202,1,1
0xBDA03febe10b8Ffa37F6186FDcAe219a82f764ec,1,1,8223220,24669662,1,1
0x296c529591D42AA50841af29bb67341c17895D9B,1,1,8090857,24272572,1,1
0xe120550468513d17709DBd000d1C0b80d3F5Fb0e,1,1,7907936,23723810,1,1
0x6Ce4d877D6da30F75aacc36C31D93cCf6171d745,1,1,7288712,21866137,1,1
0x8D7Df5954A09FA27c6413eF94A15E0777A25Bd26,1,1,7192207,21576621,1,1
0x245ACa05510D5FcAC40fcF6cAcf8658Dc6a31c59,1,1,6756763,20270289,1,1
0xB39BeD744A8aB754109C1987290B93Da744e36EC,1,1,6737224,20211672,1,1
0x2E5B991Dd88474DeBDAfe25EbBb73c541A15702d,1,1,6587888,19763666,1,1
0x154A1799C339F1D2EaB56b46A5985D79F9C42874,1,1,6582655,19747965,1,1
0xbb170A6037b4375B0eBE8137713533430Fd3e649,1,1,6582319,19746959,1,1
0x3cA6d1463fE2007643247d167176B27B30b41B6E,1,1,6242622,18727866,1,1
0x568Bb814D39Bb7e8aCb46929AF924067FC7E6b48,1,1,6135066,18405199,1,1
0x7c2c78ad99eC57067acdB2adb284f30d189e0b0B,1,1,6067466,18202398,1,1
0x8A8A24Af74a85362418b955Ed21C84073107F754,1,1,6018533,18055600,1,1
0x1eb53Cb1d366c56f241E01C19c18EC38b57Ef2D7,1,1,5895718,17687156,1,1
0x3Da34a4f23270dbA4E8C208c04403F06006C83c0,1,1,5876932,17630798,1,1
0xa5b35A35bDae0F46987324734585f1F4510086B2,1,1,5854680,17564041,1,1
0xc5D105e678Ea4cbA8862588069Bf1772bb79672A,1,1,5840739,17522218,1,1
0xa48869098E6fCf7C67E19463938bD1209AB253Df,1,1,5601145,16803437,1,1
0xe98736508f8910F811a353B5C8D7cAEb881d0847,1,1,5471729,16415188,1,1
0xAf3Bb3A4D1e480CE377f747E5A6F9c820661D457,1,1,5354123,16062369,1,1
0x8CAeF18A4e4c68A1132AE195E628ef68043CCb05,1,1,5326010,15978032,1,1
0x555707A9277320f9596Eb21Ff77C38B6FB5DC4C6,1,1,5238016,15714050,1,1
0x0ec85d242e660e9B37e968c455D846b42cE0b9C3,1,1,5169303,15507909,1,1
0x2bDAB32Fc7285EA127cd72046D7A0f9C5bF0dcBC,1,1,5107336,15322009,1,1
0xB2EBC870212522b387732560d48ee0B26EF74709,1,1,5058640,15175922,1,1
0x7cadAA9f9Ff0b58eB9306744b737E22Eed384345,1,1,5013803,15041410,1,1
0xb8BE59073A3a165d632FB6322AD382a9d20a77ec,1,1,4844489,14533467,1,1
0x9E097E8999AFFab83e502C91Db8a52e12Ed8fd25,1,1,4542763,13628291,1,1
0x27B000E81f120113944D33b5aDe56be412aa077E,1,1,4389337,13168013,1,1
0xA088D3303DA5C95396d4bf5E7beEc971EFbeb003,1,1,4353245,13059735,1,1
0x48F6241438B8B9E7a2aca037dEd37f56e3B02fd9,1,1,4104879,12314637,1,1
0xF1e6239385c7F4b5EC976b6756620a668a66f160,1,1,3951424,11854273,1,1
0x9DbF4c8C1F261F3eE4656c8cf531faFc0Af36d2d,1,1,3877694,11633083,1,1
0x8c1C0Ac2d29C461f582781C58382e58DB9245E50,1,1,3872909,11618729,1,1
0x8219015dB2931968EC29D47659f82CD0A5D1007d,1,1,3754372,11263117,1,1
0xB0D7aB16412Ad34ed99836134DC79e4dfd083CD3,1,1,3705253,11115761,1,1
0x9452E2f84d49d98a1414921Fe62Bb20fFAdC0669,1,1,3679754,11039264,1,1
0x8f0EfCBb773c19389D82E38aA76011D480D9d794,1,1,3591778,10775335,1,1
0x8eD36Ef9F066117203D1Bb199d4D41Fa2565E3e9,1,1,3558143,10674430,1,1
0xd211B9D5DA830e29ca1Ec9BE1D1723b91Fa81e3F,1,1,3545968,10637905,1,1
0x23d981ac089DdAa055DAC1E4C50B5E280943610B,1,1,3420208,10260626,1,1
0x83b03339729f0D6A6930Be53f2dE5d13e95B1c84,1,1,3392480,10177441,1,1
0x670fbD72155b2aE2e5336C82dC62C8b22eD4BA09,1,1,3326034,9978104,1,1
0x4B269D2a0F2bFbDfe92A6DBb12912d93973e42B9,1,1,3267369,9802109,1,1
0xbcb764ed82A1bcC2370B1C27Ea4FbE11B53b06fA,1,1,3210568,9631705,1,1
0x81254204850020De888E026A0a27bfbA25849b70,1,1,3064507,9193523,1,1
0x3B1390C6DC52Bab80BeD8da13d7b968616181D81,1,1,3037335,9112006,1,1
0xBF9a9291e61A74a94Be1e54f0153Ea17858c46C7,1,1,2998694,8996082,1,1
0xd84136815040cF14cab6f47C3683b025D9dE3AE4,1,1,2994364,8983092,1,1
0xF19A2915376CADAe20bAD66739eDe59d96D19F41,1,1,2875352,8626058,1,1
0xc61978B0802d0B5916E44b8398F8e3B5E88f2168,1,1,2826937,8480812,1,1
0x18492762Bc2B11118E34001d55cb29C02dE34F97,1,1,2807778,8423336,1,1
0x018700C99752c27149010208Cd2F81E048957c49,1,1,2803655,8410966,1,1
0x9DB4617A97EA3C1954947b156365AeC4816368a2,1,1,2743077,8229231,1,1
0x65dA0970b9A0153DB222056b50A84a46d8cf40B5,1,1,2742723,8228170,1,1
0x6d000ec79C5edCbf1Cfa316bc5B7B184338176E7,1,1,2611140,7833422,1,1
0x99468B13AbdFFbfad45405b451F98d6791280eF2,1,1,2575008,7725025,1,1
0x701386193B756f4931F68881F536724A808CDcbA,1,1,2537586,7612758,1,1
0x96bF91ffa888551b78a1Ec7c5D90e98060bFE568,1,1,2488462,7465386,1,1
0x12775990E3A15D25d74bB523c1fE3dE625A06347,1,1,2477598,7432794,1,1
0x838A73193077853196486C24dE209e333Bfb74A5,1,1,2460126,7380378,1,1
0xa8C83B1b30291A3a1a118058b5445cC83041Cd9d,1,1,2441727,7325182,1,1
0x127D9f116d2b43F811F754307Fd2fc27294a39cD,1,1,2429939,7289819,1,1
0xeb1f2bC2E6F4DE55cBEd46AA7384572a3AA8a322,1,1,2354890,7064670,1,1
0x3000f54BD394e020c291cF5D50c27D3294D4b9b5,1,1,2321620,6964862,1,1
0x285c007CB469D2cdbb6a80CBeC6e648843f35827,1,1,2241030,6723092,1,1
0xCBf91DB7192F95E4Fa6bcFaf8E47aAd40c4d083E,1,1,2182231,6546694,1,1
0x38c7Ccb9dbA2C8F6Ab4312ACc63b01aE5CB21F7d,1,1,2158340,6475020,1,1
0xd7f4D8E4fEE4Ae8a5448e8F7be1CD45C99307294,1,1,2119583,6358751,1,1
0xBa7B40A3898A8ADa2a341864c4Ad65993af64a48,1,1,2079934,6239802,1,1
0x985C3e74201d8C4907E7d8db06bb1F83639BEF0c,1,1,2001816,6005449,1,1
0x56E81795CAEB5d3adA3f1563CCa368dce87B0b70,1,1,1986720,5960162,1,1
0x7056F441260Af033ef827F0F961c242733Ba1127,1,1,1965040,5895121,1,1
0x1570b3C13F8cdFCAB88Cd4b1ae6d7d8462e554da,1,1,1857344,5572033,1,1
0xa14F6577746f9Fdc4AAbA510796e4D617350EbE6,1,1,1847870,5543611,1,1
0x76d1aE8e3266a352fD9762671928F1f024E55b41,1,1,1832583,5497749,1,1
0x9cC0F4b65F8d6Afd58f999F59c96390A93a7FF42,1,1,1792136,5376409,1,1
0xa3e6B36B6665FFfbCBEfC4C86eFC5972caE6db5A,1,1,1788514,5365544,1,1
0x50097dd5b072AC98078513ccd07652E3F206e1F0,1,1,1745541,5236624,1,1
0x4e43e6852B8eaeB67f54D84506787068ec94c686,1,1,1741003,5223011,1,1
0x3CCD067cE832a4EB950b16b186aCd2363fCFd608,1,1,1737394,5212184,1,1
0x4F5acC631f0BC13AA440AB386b688F9741c4cef8,1,1,1636516,4909549,1,1
0x3345429fe524f69C7832559b0c6401185E3B2841,1,1,1624837,4874512,1,1
0x1476fba15244A0C0F6BedE636e5Ff3548ddf11FA,1,1,1620380,4861140,1,1
0x9eA268544356ce16F59F4Ded58915FDab019Af9D,1,1,1586181,4758545,1,1
0x352f4DD9d431cc7BeA847E11B1AB0785e52f7D9D,1,1,1508375,4525126,1,1
